Sukunimi;Nimenhaltijoita yhteensä
Askolin;163
Broberg;163
Byckling;163
Granskog;163
Houni;163
Inkeröinen;163
Isotupa;163
Joutjärvi;163
Junnonen;163
Kansanaho;163
Kollin;163
Lindevall;163
Loukasmäki;163
Nikko;163
Pisto;163
Pyötsiä;163
Rantsi;163
Riuttanen;163
Ruismäki;163
Rönnblad;163
Virén;163
Fransman;162
Heiniluoma;162
Höykinpuro;162
Joentakanen;162
Junni;162
Karisto;162
Kekäle;162
Kirjalainen;162
Krasniqi;162
Laivo;162
Lamminsivu;162
Niinivaara;162
Paloviita;162
Patrakka;162
Pekurinen;162
Pelto;162
Peltoperä;162
Petrelius;162
Potila;162
Raijas;162
Rupponen;162
Seger;162
Simi;162
Snicker;162
Solja;162
Vahvelainen;162
Welander;162
Alkula;161
Biström;161
Fischer;161
Holmsten;161
Huurre;161
Hämeenaho;161
Härkälä;161
Jatkola;161
Jukkala;161
Kangastie;161
Kulppi;161
Lundin;161
Muli;161
Munck;161
Palkeinen;161
Pylväinen;161
Ravi;161
Sanaksenaho;161
Suutala;161
Untinen;161
Granat;160
Harmanen;160
Hedström;160
Hopiavuori;160
Kaistinen;160
Kellosaari;160
Kurhela;160
Kyösti;160
Lähdeaho;160
Mansikkaviita;160
Packalen;160
Pietinen;160
Savilahti;160
Sivunen;160
Ulvila;160
Vidjeskog;160
Appel;159
Haaponiemi;159
Halvari;159
Heide;159
Hurtta;159
Iljin;159
Kalli;159
Kovala;159
Laitio;159
Lapinoja;159
Lehtiranta;159
Lehtoniemi;159
Luuri;159
Lyttinen;159
Mela;159
Ollakka;159
Pihala;159
Pohjoisaho;159
Päivärinne;159
Pänkäläinen;159
Pöykkö;159
Ruti;159
Sarkola;159
Satola;159
Seitsonen;159
Simelius;159
Smura;159
Suovanen;159
Sääski;159
Ylihärsilä;159
Ahlman;158
Alakotila;158
Christensen;158
Halén;158
Högman;158
Hökkä;158
Kakkinen;158
King;158
Kuoppa;158
Lavi;158
Levä;158
Loikas;158
Lopperi;158
Nikupeteri;158
Norppa;158
Puukka;158
Riihonen;158
Rönty;158
Savimäki;158
Schneider;158
Trogen;158
Ukonaho;158
Valentin;158
Viiru;158
Vähäkainu;158
Öberg;158
Bremer;157
Grönblom;157
Hautalahti;157
Härkin;157
Jylhä-Ollila;157
Kelahaara;157
Kylmäniemi;157
Lanne;157
Lehtosalo;157
Majoinen;157
Nynäs;157
Oiva;157
Piili;157
Qvarnström;157
Samppala;157
Stolpe;157
Stranden;157
Stålhammar;157
Sulkanen;157
Toijonen;157
Törnblom;157
Yritys;157
Abdullah;156
Ahomäki;156
Hamberg;156
Hirsikangas;156
Hunnakko;156
Huotilainen;156
Ilo;156
Kaario;156
Kallo;156
Kesäniemi;156
Kontto;156
Kuntonen;156
Kurittu;156
Maljanen;156
Mustanoja;156
Ollikka;156
Papinaho;156
Paussu;156
Poukkula;156
Raja-aho;156
Rehnström;156
Rosenlöf;156
Sevon;156
Sjövall;156
Skarp;156
Taimisto;156
Tavasti;156
Tekoniemi;156
Tornikoski;156
Tuikkala;156
Tujunen;156
Utter;156
Vu;156
Aakula;155
Dahlin;155
Helppi;155
Hohti;155
Jauhojärvi;155
Juntto;155
Kemilä;155
Kontola;155
Kynkäänniemi;155
Laitakari;155
Malén;155
Marttunen;155
Mäkipelto;155
Nevanpää;155
Santikko;155
Seppinen;155
Silvander;155
Soinio;155
Suojoki;155
Vasankari;155
Fjäder;154
Franssila;154
Grönmark;154
Haipus;154
Hiekkala;154
Hintsa;154
Hoffman;154
Hämeenkorpi;154
Kannosto;154
Kyyrä;154
Lantela;154
Leppälahti;154
Munnukka;154
Nybom;154
Ollonqvist;154
Portti;154
Riepponen;154
Räikkä;154
Schultz;154
Store;154
Ståhle;154
Suoninen;154
Säämänen;154
Tikkamäki;154
Viippola;154
Villberg;154
Arbelius;153
Franck;153
Frantti;153
Heiman;153
Huynh;153
Hätälä;153
Ingberg;153
Joutsi;153
Jukkara;153
Kamppi;153
Karinkanta;153
Kilpiäinen;153
Kontulainen;153
Korpimäki;153
Kultti;153
Kumlin;153
Kurtén;153
Kylmämaa;153
Loikala;153
Mäntyharju;153
Nirkkonen;153
Ojakoski;153
Pohjavirta;153
Pylvänen;153
Pärkkä;153
Reinilä;153
Ruokokoski;153
Schröder;153
Tenhonen;153
Vahteristo;153
Aikioniemi;152
Alonen;152
Barsk;152
Ekdahl;152
Haho;152
Hallenberg;152
Hankala;152
Hirsi;152
Hölsö;152
Kaaja;152
Lallo;152
Lindgrén;152
Loukonen;152
Luomajoki;152
Mölkänen;152
Ohenoja;152
Piskonen;152
Pitkä;152
Ruissalo;152
Röyttä;152
Samuelsson;152
Särkioja;152
Tajakka;152
Wickman;152
Vieri;152
Viitikko;152
Wikstedt;152
Vinkki;152
Virtamo;152
Broström;151
Fallström;151
Holmgren;151
Huisman;151
Jonninen;151
Kajanus;151
Karlstedt;151
Keso;151
Klingberg;151
Lukkaroinen;151
Lääkkö;151
Mäkikangas;151
Mört;151
Nymark;151
Orenius;151
Outila;151
Prusti;151
Rajalahti;151
Reis;151
Semi;151
Sirniö;151
Taimela;151
Teerimäki;151
Vanhalakka;151
Viiala;151
Wiksten;151
Vilokkinen;151
Ylinampa;151
Öström;151
Collan;150
Erkko;150
Hatunen;150
Ilmola;150
Isosalo;150
Jarkko;150
Kahilainen;150
Kamila;150
Karikoski;150
Karjaluoto;150
Kaur;150
Kipinoinen;150
Kyytsönen;150
Kärsämä;150
Lehmussaari;150
Luukas;150
Merikoski;150
Merisaari;150
Muittari;150
Mäkäläinen;150
Nolvi;150
Paloposki;150
Piippola;150
Portaankorva;150
Puikko;150
Pyhtilä;150
Roslund;150
Sara;150
Sihto;150
Sukuvaara;150
Tuomiranta;150
Visti;150
Ylänne;150
Äyräs;150
Astala;149
Berlin;149
Biskop;149
Eliasson;149
Hautsalo;149
Heittola;149
Helsing;149
Hyle;149
Hämynen;149
Högberg;149
Kamppuri;149
Kansikas;149
Klami;149
Larikka;149
Liikka;149
Lukander;149
Länkinen;149
Nuolioja;149
Nystén;149
Puittinen;149
Pönkä;149
Rimpilä;149
Röyskö;149
Savenius;149
Silván;149
Tapanila;149
Tenho;149
Tohmo;149
Tuimala;149
Varpenius;149
Viuhko;149
Ylärakkola;149
Autero;148
Axelsson;148
Heimola;148
Hyrkkänen;148
Intonen;148
Jussinniemi;148
Karasti;148
Korvala;148
Koukkunen;148
Lahnalampi;148
Linko;148
Luostari;148
Majalahti;148
Mansikka-aho;148
Patosalmi;148
Rautala;148
Ruutu;148
Saviaro;148
Selkäinaho;148
Siuruainen;148
Valkila;148
Varjoranta;148
Viitaharju;148
Vuohijoki;148
Aromäki;147
Helanen;147
Jakku;147
Kasper;147
Korpilahti;147
Lautanen;147
Liuksiala;147
Norrman;147
Oravasaari;147
Peuranen;147
Piekkari;147
Porri;147
Raski;147
Rauha;147
Repola;147
Sell;147
Sillanmäki;147
Sinervä;147
Sirainen;147
Skippari;147
Smedberg;147
Tammisalo;147
Torri;147
Viitakangas;147
Zilliacus;147
Alhola;146
Arppe;146
Backholm;146
Bui;146
Erkinheimo;146
Hietarinta;146
Kantojärvi;146
Keskikallio;146
Klemettinen;146
Kopakkala;146
Kortesmäki;146
Kurula;146
Lanu;146
Loukiainen;146
Ottelin;146
Porrassalmi;146
Rasmussen;146
Sadeharju;146
Snygg;146
Torkki;146
Vehkamäki;146
Ahlbom;145
Aittamäki;145
Heinimäki;145
Huhtasalo;145
Hupli;145
Häyry;145
Kaijalainen;145
Kalmi;145
Kettinen;145
Kettu;145
Kostet;145
Kähtävä;145
Käsnänen;145
Laanti;145
Nikkarinen;145
Ojaranta;145
Pirttisalo;145
Riiheläinen;145
Vallittu;145
Vuollo;145
Yilmaz;145
Dahlbacka;144
Hackman;144
Holmén;144
Homanen;144
Hotari;144
Huhtamella;144
Häsä;144
Kinnarinen;144
Koskenoja;144
Kronlund;144
Kudjoi;144
Lehmusvuori;144
Lokkila;144
Maikola;144
Metsäpelto;144
Niku;144
Nurmilaukas;144
Orrenmaa;144
Planting;144
Saarenketo;144
Saksala;144
Sallila;144
Utunen;144
Warsame;144
Björkström;143
Ehrukainen;143
Elsilä;143
Gädda;143
Heikola;143
Helisten;143
Illi;143
Jehkonen;143
Jernström;143
Jänis;143
Järvitalo;143
Kytöharju;143
Lönngren;143
Moliis;143
Rautajoki;143
Rikkilä;143
Rosenholm;143
Ruusila;143
Sallmén;143
Sammallahti;143
Simons;143
Snäll;143
Stjerna;143
Thil;143
Tykkä;143
Björkgren;142
Hirvikallio;142
Huhdanpää;142
Into;142
Isopoussu;142
Judén;142
Kakriainen;142
Kastikainen;142
Kölhi;142
Lager;142
Lavikka;142
Leisti;142
Luhanko;142
Lähteenkorva;142
Mokko;142
Nikku;142
Nurmimäki;142
Nyrhilä;142
Pallonen;142
Pynttäri;142
Rasanen;142
Rauvola;142
Räbinä;142
Salmikivi;142
Saranen;142
Soinila;142
Sorvo;142
Vartiala;142
Weber;142
Vesander;142
von Hertzen;142
Vormisto;142
Ylilammi;142
Adler;141
Ala-Nikkola;141
Hernberg;141
Herukka;141
Hiekka;141
Jumpponen;141
Kaari;141
Kahra;141
Konga;141
Nurmenniemi;141
Paatero;141
Pispa;141
Pohjala;141
Pohjanpalo;141
Ponkala;141
Prinkkilä;141
Rahkala;141
Rehnberg;141
Rintamaa;141
Riuttala;141
Rumpunen;141
Vihtonen;141
Auramo;140
Frilund;140
Heikkuri;140
Husa;140
Kahri;140
Karhumäki;140
Kontu;140
Korpua;140
Laapas;140
Lassi;140
Lifländer;140
Lydman;140
Mastokangas;140
Niutanen;140
Olofsson;140
Paganus;140
Peni;140
Perko;140
Ryymin;140
Salmivuori;140
Suontama;140
Sydänmaanlakka;140
Tast;140
Tawast;140
Uoti;140
Vehkakoski;140
Vendelin;140
Vertainen;140
Vuorensola;140
Vähäkoski;140
Västilä;140
Arvio;139
Avelin;139
Bamberg;139
Elmi;139
Flygare;139
Herlin;139
Häggqvist;139
Kaappola;139
Karp;139
Kauria;139
Keiski;139
Kenttämaa;139
Kirsi;139
Kivisalo;139
Koskenmäki;139
Kotiniemi;139
Laatunen;139
Lakkapää;139
Liljeblad;139
Linnanen;139
Multala;139
Mustafa;139
Mäkimartti;139
Niittylä;139
Pastinen;139
Perkola;139
Puronaho;139
Rantatalo;139
Roslöf;139
Sukari;139
Sundgren;139
Taivalantti;139
Taivalkoski;139
Thylin;139
Tuurala;139
Törhönen;139
Töyry;139
Voipio;139
Vulli;139
Airo;138
Allen;138
And;138
Bodbacka;138
Demir;138
Green;138
Gröning;138
Hangasmaa;138
Hjerpe;138
Isokorpi;138
Ivanova;138
Jetsu;138
Jokio;138
Junninen;138
Keckman;138
Kristola;138
Kvarnström;138
Latomäki;138
Lukinmaa;138
Meriö;138
Mouhu;138
Mäkimattila;138
Perä;138
Priha;138
Rapakko;138
Rimpioja;138
Ristiniemi;138
Rokala;138
Sivenius;138
Sotaniemi;138
Alakangas;137
Antfolk;137
Hagnäs;137
Hakoniemi;137
Heinikainen;137
Hietaoja;137
Holmroos;137
Huhtaniska;137
Höylä;137
Ilmasti;137
Kaivosoja;137
Kilpijärvi;137
Kiviahde;137
Koirikivi;137
Kollanus;137
Laalo;137
Lipsonen;137
Ljungqvist;137
Luhtaniemi;137
Multamäki;137
Mustajoki;137
Nahkuri;137
Norja;137
Patja;137
Pellas;137
Pessinen;137
Puntanen;137
Pylkäs;137
Pönkkä;137
Siika-aho;137
Thomas;137
Uhlbäck;137
Ulander;137
Walden;137
Ärling;137
Bengtsson;136
Bussman;136
Eskelin;136
Gullsten;136
Hakula;136
Hansén;136
Ivanov;136
Kaijala;136
Kalske;136
Kavonius;136
Kinisjärvi;136
Kotisaari;136
Nabb;136
Passila;136
Ranttila;136
Riekkola;136
Rötkö;136
Sario;136
Silenius;136
Strandvall;136
Suksi;136
Sunell;136
Särkilahti;136
Tapaninaho;136
Törmäkangas;136
Väljä;136
Äikää;136
Adam;135
Fant;135
Haarahiltunen;135
Hakalahti;135
Hanttu;135
Heikkola;135
Hourula;135
Huhtilainen;135
Humaloja;135
Jussilainen;135
Kemell;135
Kentta;135
Koramo;135
Kostiander;135
Lääti;135
Norri;135
Näkkäläjärvi;135
Ollitervo;135
Perttola;135
Piekkola;135
Poropudas;135
Pukarinen;135
Pyhältö;135
Reuna;135
Rieppo;135
Roiko;135
Räntilä;135
Salokorpi;135
Suvitie;135
Utti;135
Uunila;135
Vatjus;135
Willström;135
Wolff;135
Aikkila;134
Ajo;134
Hietapakka;134
Hoang;134
Honkakoski;134
Iinatti;134
Kaarlejärvi;134
Keskisarja;134
Koskivaara;134
Kossi;134
Kynsijärvi;134
Latvaniemi;134
Luhta;134
Mastomäki;134
Mikkelä;134
Mäkirinta;134
Pajulahti;134
Porko;134
Pyymäki;134
Ramsay;134
Redsven;134
Röpelinen;134
Sakari;134
Sampo;134
Sissala;134
Tertsunen;134
Toiva;134
Tulppo;134
Tuoma;134
Waltari;134
Viksten;134
Virsu;134
Vuorenoja;134
Välkkilä;134
Antinaho;133
Ehrström;133
Feodoroff;133
Gerkman;133
Harlin;133
Hosseini;133
Ihanainen;133
Jauhola;133
Juntura;133
Kaitainen;133
Kananoja;133
Kauppala;133
Leväniemi;133
Lääveri;133
Lönnroos;133
Muotio;133
Murtovaara;133
Qvintus;133
Rajasalo;133
Siikala;133
Sippo;133
Styrman;133
Supperi;133
Taari;133
Tanni;133
Taskula;133
Teronen;133
Tusa;133
Törn;133
Vanonen;133
Ylämäki;133
Ylösmäki;133
Äärelä;133
af Hällström;132
Almgren;132
Andsten;132
Ankkuri;132
Antman;132
Friis;132
Hagberg;132
Harjuniemi;132
Hellqvist;132
Korkeaniemi;132
Kupias;132
Muhola;132
Mustapää;132
Mäkiö;132
Nyfelt;132
Nättinen;132
Okko;132
Painilainen;132
Pakola;132
Paulus;132
Riepula;132
Ruth;132
Sarvela;132
Saviluoto;132
Siivikko;132
Storgård;132
Tiitola;132
Uschanov;132
Uutinen;132
Vainiola;132
Vatka;132
Välisaari;132
Ansio;131
Anttinen;131
Dahir;131
Herronen;131
Huunonen;131
Jyrälä;131
Kapulainen;131
Keisanen;131
Koskivuori;131
Kriikkula;131
Kropsu;131
Kuhlberg;131
Lohva;131
Lundmark;131
Luojus;131
Mitts;131
Nirkko;131
Nuppola;131
Ojanaho;131
Onkalo;131
Patala;131
Puhto;131
Reittu;131
Savelius;131
Sievers;131
Tasanko;131
Teitto;131
Tuulensuu;131
Valikainen;131
Wass;131
Wirkkala;131
von Schantz;131
Akkila;130
Autioniemi;130
Brunila;130
Isokallio;130
Kanervisto;130
Kotomäki;130
Kovaniemi;130
Kärenlampi;130
Kärjä;130
Laapio;130
Lönnström;130
Mettänen;130
Multisilta;130
Norrbacka;130
Orjala;130
Pekuri;130
Penna;130
Petrov;130
Sandgren;130
Santonen;130
Taanila;130
Vapola;130
Viro;130
Aavikko;129
Ahlsved;129
Antinoja;129
Harmoinen;129
Hertell;129
Inget;129
Järnefelt;129
Konsti;129
Kuoppamaa;129
Kurttio;129
Kuuskoski;129
Kärpänen;129
Lintumäki;129
Luomaranta;129
Länsimäki;129
Meinander;129
Meklin;129
Mustamäki;129
Märsylä;129
Nokela;129
Paul;129
Pikkuhookana;129
Putus;129
Pöllä;129
Rapatti;129
Rintaniemi;129
Sahla;129
Sarjanen;129
Snåre;129
Sundbäck;129
Svartström;129
Sällström;129
Tatti;129
Thomasson;129
Vehkalampi;129
Westberg;129
Aittokoski;128
Alasaarela;128
Anteroinen;128
Asiala;128
Bergius;128
Böckerman;128
Enbuska;128
Estola;128
Federley;128
Heinisuo;128
Hoisko;128
Holck;128
Idström;128
Joenpolvi;128
Kangosjärvi;128
Katiska;128
Kiimalainen;128
Kniivilä;128
Lammila;128
Laxström;128
Leväinen;128
Linnavuori;128
Liuha;128
Mara;128
Matala;128
Mattola;128
Munkki;128
Mäntyranta;128
Putaansuu;128
Pyylampi;128
Ramberg;128
Rytilä;128
Siipo;128
Sotkasiira;128
Säynäjoki;128
Thors;128
Turula;128
Viander;128
Vihanta;128
Viiperi;128
Viren;128
Vuojolainen;128
Ahlgrén;127
Ala;127
Alaspää;127
Dahlblom;127
Fomin;127
Hilliaho;127
Ihander;127
Kevin;127
Kursu;127
Littunen;127
Lähteenmaa;127
Manu;127
Matkaselkä;127
Mieskonen;127
Modig;127
Mäntykenttä;127
Nemlander;127
Pahlman;127
Paloneva;127
Pura;127
Rasinmäki;127
Rintaluoma;127
Räisä;127
Sagulin;127
Saraniemi;127
Tick;127
Torni;127
Torvela;127
Vavuli;127
Vedenoja;127
Veikkanen;127
Vuolukka;127
Ylioja;127
Zitron;127
Aittokallio;126
Ala-Heikkilä;126
Alarotu;126
Byskata;126
Cederlöf;126
Finér;126
Finska;126
Kalliala;126
Kaunonen;126
Keskinarkaus;126
Korpisaari;126
Lagerroos;126
Laulaja;126
Leiniö;126
Ljungberg;126
Nalli;126
Pietiäinen;126
Remsu;126
Reunamo;126
Rosten;126
Saarainen;126
Salmensuu;126
Sandås;126
Sharma;126
Strömmer;126
Teivainen;126
Tiermas;126
Torsti;126
Valto;126
Vasalampi;126
Väärä;126
Ääri;126
Eskeli;125
Haili;125
Hermans;125
Ivars;125
Kallatsa;125
Kumpunen;125
Lilleberg;125
Lähteenoja;125
Mustikkamaa;125
Onatsu;125
Otranen;125
Pakonen;125
Ranta-Nilkku;125
Ravattinen;125
Ruohomaa;125
Saksman;125
Salmenoja;125
Seilo;125
Siekkeli;125
Simberg;125
Tervakoski;125
Urhonen;125
Virranniemi;125
Ahokangas;124
Ahoranta;124
Blåfield;124
Bruce;124
Ekonen;124
Elomäki;124
Enström;124
Fagerudd;124
Flander;124
Hagelin;124
Herala;124
Huhtasaari;124
Joutsenlahti;124
Kajula;124
Kaya;124
Keskisaari;124
Klemelä;124
Koliseva;124
Kortesluoma;124
Källman;124
Lagerstedt;124
Lamponen;124
Larinen;124
Laurikkala;124
Löfqvist;124
Mainio;124
Martelius;124
Matinlauri;124
Matveinen;124
Mikkolainen;124
Myllyharju;124
Nurmesniemi;124
Pouta;124
Rehu;124
Riihimaa;124
Ritanen;124
Siukonen;124
Skogström;124
Smedman;124
Svanbäck;124
Takaluoma;124
Takarautio;124
Tallbacka;124
Tenkula;124
Tiljander;124
Törrö;124
Vakkari;124
Ylipahkala;124
Dang;123
Elfvengren;123
Fisk;123
Haldin;123
Hamara;123
Hasunen;123
Holmstedt;123
Honkaranta;123
Islam;123
Jounila;123
Junna;123
Järvistö;123
Karihtala;123
Karkkola;123
Koivusilta;123
Korvenoja;123
Kulpakko;123
Kämäri;123
Lapveteläinen;123
Merikukka;123
Nevanlinna;123
Nokka;123
Perämaa;123
Peurasaari;123
Pikkuaho;123
Pistemaa;123
Pöykiö;123
Rissa;123
Roschier;123
Räisälä;123
Sahala;123
Sahanen;123
Silen;123
Silfvast;123
Skaffari;123
Sonck;123
Westermark;123
Vilska;123
Visa;123
Vuorivirta;123
Ylikojola;123
Dammert;122
Dillström;122
Horn;122
Hossain;122
Kamppila;122
Kaukanen;122
Keltamäki;122
Korpiaho;122
Kotiaho;122
Krigsholm;122
Krooks;122
Kuorilehto;122
Käpyaho;122
Louhivaara;122
Peuhkurinen;122
Poikkeus;122
Salonius;122
Suojärvi;122
Tilander;122
Tillman;122
Tolppa;122
Toro;122
Toura;122
Tyrkkö;122
Wagner;122
Wallgren;122
Vanhapiha;122
Ylén;122
Äyräväinen;122
Aarikka;121
Berisha;121
Brax;121
Bräysy;121
Faltin;121
Fyhr;121
Hedlund;121
Hella;121
Hussi;121
Hölli;121
Kahlos;121
Kujansivu;121
Kukkanen;121
Lovén;121
Norrgrann;121
Ossi;121
Petman;121
Porvali;121
Postila;121
Prusi;121
Puusa;121
Pyöriä;121
Pääjärvi;121
Rahnasto;121
Raukko;121
Ravaska;121
Ruhala;121
Saarikettu;121
Sauna-aho;121
Simonaho;121
Sirenius;121
Sokero;121
Stengård;121
Sundfors;121
Svens;121
Telenius;121
Tikanoja;121
Tuulaniemi;121
Urho;121
Virkamäki;121
von Bonsdorff;121
Vuohtoniemi;121
Östring;121
Adolfsson;120
Arajärvi;120
Aspfors;120
Bertell;120
Blomgren;120
Eteläniemi;120
Europaeus;120
Haahti;120
Ingström;120
Inha;120
Juka;120
Kalaoja;120
Karlberg;120
Keltto;120
Kirkkomäki;120
Kivipuro;120
Klaavo;120
Koivurova;120
Krankkala;120
Kytömaa;120
Leppiaho;120
Linjamäki;120
Luomi;120
Luukkala;120
Läntinen;120
Mökkönen;120
Oravala;120
Otava;120
Palojoki;120
Prusila;120
Pyykölä;120
Pyörre;120
Roppola;120
Simontaival;120
Siven;120
Solla;120
Suuriniemi;120
Sääksjärvi;120
Tolkkinen;120
Tolppi;120
Tumelius;120
Vapalahti;120
Viherä;120
Viisanen;120
Ylisaari;120
Yli-Suvanto;120
Aittoniemi;119
Alfthan;119
Halkosaari;119
Harmainen;119
Isoherranen;119
Junell;119
Juupaluoma;119
Kalin;119
Kastarinen;119
Kiesilä;119
Koota;119
Kottonen;119
Kulin;119
Lahdensivu;119
Leinikka;119
Limma;119
Martelin;119
Moring;119
Pajuluoma;119
Pallas;119
Palttala;119
Patteri;119
Paulasaari;119
Peci;119
Purtilo;119
Rikberg;119
Rännäli;119
Sadinmaa;119
Seuranen;119
Seurujärvi;119
Siili;119
Sulkala;119
Tammivuori;119
Tavast;119
Toukonen;119
Vahter;119
Vilo;119
Vilonen;119
Wistbacka;119
Värtinen;119
Vääränen;119
Annila;118
Einiö;118
Frank;118
Hankkila;118
Harila;118
Hatara;118
Hokkinen;118
Karisalmi;118
Korander;118
Korpivaara;118
Kälkäinen;118
Lemetyinen;118
Martinkauppi;118
Ojutkangas;118
Poussa;118
Puura;118
Pyhäluoto;118
Reima;118
Saarilahti;118
Savikurki;118
Seppelin;118
Siuko;118
Sonntag;118
Tupamäki;118
Töykkälä;118
Vesterholm;118
Zhang;118
Bergdahl;117
Do;117
Eskman;117
Granbacka;117
Gyldén;117
Hentula;117
Himmanen;117
Kursula;117
Kuva;117
Kynsilehto;117
Köhler;117
Lastunen;117
Latomaa;117
Lindelöf;117
Lostedt;117
Lähtevänoja;117
Löytönen;117
Naamanka;117
Nordenswan;117
Norring;117
Nortunen;117
Ollas;117
Osara;117
Pellikainen;117
Pälli;117
Raikamo;117
Raikunen;117
Rauhaniemi;117
Rinnetmäki;117
Ruikka;117
Rumbin;117
Rydman;117
Storbjörk;117
Suomäki;117
Söderqvist;117
Tervahartiala;117
Toriseva;117
Vihersaari;117
Visala;117
Vittaniemi;117
Aarni;116
Adamsson;116
Ahl;116
Ajanki;116
Alinen;116
Brännkärr;116
Flöjt;116
Forsgren;116
Fyrqvist;116
Gräsbeck;116
Hallman;116
Hammarén;116
Hannunen;116
Helttula;116
Innala;116
Irjala;116
Jylli;116
Karilahti;116
Kassinen;116
Katavisto;116
Keppo;116
Koivuaho;116
Korjula;116
Korkalo;116
Kukkala;116
Kumlander;116
Kuusrainen;116
Kämpe;116
Lassander;116
Leiponen;116
Lietzén;116
Lippo;116
Lyyski;116
Lämpsä;116
Mahlakaarto;116
Mali;116
Mantela;116
Mäntykangas;116
Palén;116
Palo-oja;116
Peräaho;116
Petäjämäki;116
Pirttikangas;116
Polo;116
Rauvala;116
Svarvar;116
Tähkä;116
Veteli;116
Vigren;116
Vinkka;116
Ylipelkonen;116
Öling;116
Aalto-Setälä;115
Airikainen;115
Allinen;115
Andersén;115
Autto;115
Avonius;115
Breilin;115
Eerikkilä;115
Herrgård;115
Humppi;115
Juoperi;115
Kadenius;115
Kaltio;115
Kantomaa;115
Kivari;115
Koukonen;115
Krohn;115
Kärmeniemi;115
Landen;115
Lassus;115
Leikkainen;115
Liljander;115
Lintinen;115
Lintulahti;115
Luhtasela;115
Muurikainen;115
Mässeli;115
Näreaho;115
Orbinski;115
Peränen;115
Pessala;115
Porali;115
Puolimatka;115
Rajalampi;115
Reko;115
Rimpinen;115
Smirnov;115
Stewart;115
Suotula;115
Talasmäki;115
Tapojärvi;115
Tarhanen;115
Taurén;115
Tigerstedt;115
Tikanmäki;115
Timgren;115
Turpela;115
Vaismaa;115
Wilen;115
Virrankoski;115
Vo;115
Wärn;115
Eskonen;114
Fihlman;114
Fredman;114
Gylling;114
Günther;114
Hillberg;114
Horto;114
Hurmalainen;114
Ihme;114
Janger;114
Kainlauri;114
Kaitajärvi;114
Keski-Korpi;114
Korsman;114
Kortet;114
Kreus;114
Lainpelto;114
Lehmuskallio;114
Lehmusvirta;114
Leppihalme;114
Linde;114
Nordblom;114
Palani;114
Paldan;114
Penttala;114
Piittisjärvi;114
Porttila;114
Päärni;114
Rautavaara;114
Ruuhonen;114
Santahuhta;114
Sauranen;114
Schönberg;114
Sohkanen;114
Tasa;114
Tengvall;114
Vahlroos;114
Vallinen;114
Vartiamäki;114
Venemies;114
Widell;114
Vihersalo;114
Wilhelmsson;114
Välisalo;114
Yliselä;114
Alaruikka;113
Asukas;113
Broo;113
Cavén;113
Hannuniemi;113
Hautajoki;113
Hellbom;113
Honkamaa;113
Hoskonen;113
Hurula;113
Joro;113
Karppelin;113
Kilpivaara;113
Kopperoinen;113
Kostian;113
Lehmusvaara;113
Lindborg;113
Lundsten;113
Löyttyniemi;113
Matintalo;113
Moore;113
Mölläri;113
Oivo;113
Ollinen;113
Paasivirta;113
Pasila;113
Piela;113
Putkuri;113
Rannanjärvi;113
Rautalahti;113
Rokkonen;113
Savelainen;113
Sievinen;113
Sointu;113
Teini;113
Tuhkala;113
Tuuva;113
Walker;113
Wulff;113
Väntsi;113
Ahto;112
Alppi;112
Asunta;112
Borenius;112
Degerth;112
Filpus;112
Hattukangas;112
Helppolainen;112
Hulmi;112
Huoman;112
Hussain;112
Häll;112
Högbacka;112
Ilvesluoto;112
Jousi;112
Jylhänkangas;112
Kelo;112
Kiilunen;112
Kilpimaa;112
Kontoniemi;112
Korkia-aho;112
Kourula;112
Kourunen;112
Kumar;112
Kuosku;112
Kyntäjä;112
Käyrä;112
Laatu;112
Lindsten;112
Linnainmaa;112
Matsi;112
Mutta;112
Opas;112
Osmala;112
Phan;112
Pulska;112
Puntala;112
Rantalaiho;112
Ropo;112
Rova;112
Saares;112
Salimäki;112
Salonoja;112
Skogman;112
Stenmark;112
Suolahti;112
Tienari;112
Tienvieri;112
Tiili;112
Tillander;112
Viitakoski;112
Ylläsjärvi;112
Alahuhta;111
Amiri;111
Böhm;111
Fred;111
Förström;111
Gran;111
Harsunen;111
Hauta;111
Havo;111
Heilimo;111
Heini;111
Hilonen;111
Holmborg;111
Huiskonen;111
Huru;111
Jansén;111
Junnonaho;111
Kalliosalo;111
Kangaskolkka;111
Kangasperko;111
Karioja;111
Kingelin;111
Kömi;111
Laaksoharju;111
Latvalehto;111
Linder;111
Lintilä;111
Matomäki;111
Mönkäre;111
Rantahalvari;111
Richter;111
Saloheimo;111
Sarjanoja;111
Saxberg;111
Selkee;111
Suontakanen;111
Taberman;111
Thusberg;111
Ventola;111
Värtö;111
Ylisuvanto;111
Alajuuma;110
Brusin;110
Carpelan;110
Falenius;110
Hallila;110
Hattula;110
Hirvijärvi;110
Huopana;110
Inki;110
Juottonen;110
Jäderholm;110
Karhukorpi;110
Kataikko;110
Knuutti;110
Kusmin;110
Lindbäck;110
Littow;110
Lunki;110
Marjomäki;110
Mastosalo;110
Morko;110
Niittymaa;110
Nurmiainen;110
Ojamaa;110
Pantsu;110
Pasto;110
Puha;110
Putila;110
Sairio;110
Smirnova;110
Tahvonen;110
Tanila;110
Uppa;110
Virenius;110
Vähärautio;110
Zetterman;110
Aatola;109
Aksila;109
