NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
Dining 26 By Arto Rastas;Aleksanterinkatu 26 B 5;33100;Tampere;Tampere;11.07.2020;Anniskelu A, kaikki alkoholijuomat;2866218-8
Dino Ravintola;Tuukkalankatu 2;50160;Mikkeli;Mikkeli;03.06.2020;Määräaikainen A, kaikki alkoholijuomat;N/A
Dinos Bar & Grill;Strandgatan 12;22100;Mariehamn;Maarianhamina;01.01.2006;Anniskelu A, kaikki alkoholijuomat;1986631-4
Dipoli;Otakaari 24;2150;Espoo;Espoo;01.08.2017;Anniskelu A, kaikki alkoholijuomat;0873697-9
Dirty Cock Cafe;Toritie 49;17800;Kuhmoinen;Kuhmoinen;15.05.2019;Anniskelu A, kaikki alkoholijuomat;2977782-5
Disas Cafe Hamina;Puuropytyntie 8;49400;Hamina;Hamina;08.07.2019;Ann.lupa sis. vähittäismyynnin;2324567-6
Disas Cafe Imatra;Kartiokuusenkatu 1;55610;Imatra;Imatra;08.07.2019;Ann.lupa sis. vähittäismyynnin;2324567-6
Disas Cafe Mustola;Terminaalinkatu 21;53420;Lappeenranta;Lappeenranta;08.07.2019;Ann.lupa sis. vähittäismyynnin;2324567-6
Disa`s Fish Nuijamaa;Pihkalanjärventie 3;54230;Nuijamaa;Lappeenranta;17.05.2010;Vähittäismyyntilupa/max. 5.5 %;2324567-6
Dixon Klubi;Paakakatu 3;90520;Oulu;Oulu;01.07.2017;Anniskelu A, kaikki alkoholijuomat;2839267-5
Djurviks gästgård;Gottbyvägen 420;22130;Gottby;Jomala;10.04.2019;Anniskelu B, miedot alkoholijuomat/max 22%;2244865-8
Dolly Meal Maker;Kauppakatu 23 A;80100;Joensuu;Joensuu;01.07.2020;Anniskelu A, kaikki alkoholijuomat;1513132-9
Domin Pub Pizzeria;Pruukintie 3;23600;Kalanti;Uusikaupunki;16.01.2018;Anniskelu A, kaikki alkoholijuomat;2876679-6
Domino & Mr. Jones;Valtakatu 5;26100;Rauma;Rauma;22.03.2018;Anniskelu A, kaikki alkoholijuomat;2482259-4
Domino Sushi;Koulukatu 27;53100;Lappeenranta;Lappeenranta;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Domino teatterin ravintola;Humalistonkatu 7a;20100;Turku;Turku;01.01.2019;Anniskelu A, kaikki alkoholijuomat;0679275-8
Doris;Aleksanterinkatu 20;33100;Tampere;Tampere;02.11.1972;Anniskelu A, kaikki alkoholijuomat;0154062-3
Dos Pulpos;Malagankatu 2;220;Helsinki;Helsinki;18.03.2019;Anniskelu A, kaikki alkoholijuomat;2202569-8
Dos Tecolotes;Hämeentie 6 LT 4;530;Helsinki;Helsinki;02.10.2018;Anniskelu A, kaikki alkoholijuomat;2932156-1
Downtown Oy;Metallitie 2;62100;Lapua;Lapua;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2259041-9
Dragon Chinese Restaurant;Raatihuoneenkatu 8;13100;Hämeenlinna;Hämeenlinna;02.01.2001;Anniskelu A, kaikki alkoholijuomat;N/A
Dragon King;Kainuuntie 30;88600;Sotkamo;Sotkamo;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1974122-0
Dragon Palace;Brahenkatu 12;20100;Turku;Turku;29.11.2005;Anniskelu A, kaikki alkoholijuomat;1077932-9
Dragon Sheng;Suokatu 36;70110;Kuopio;Kuopio;21.06.2018;Ann.lupa sis. vähittäismyynnin;1937102-0
Dragon Sheng Kiinalainen ravintola;Kirkkopuistonkatu 21;74100;Iisalmi;Iisalmi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Dragon Sheng Kiinalainen ravintola;Vuorikatu 11;50100;Mikkeli;Mikkeli;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2348674-4
Dragon Spring;Urho Kekkosen katu 4-6;100;Helsinki;Helsinki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1589152-0
Dragsfjärds Ungdomsförening r.f.;Furulundsvägen 8;25870;Dragsfjärd;Kemiönsaari;20.03.2019;Anniskelulupa ilman toimipaikkaa;0132143-9
Draken Kebab;Hamngatan 11;22100;Mariehamn;Maarianhamina;10.06.2020;Anniskelu/max. 4.7%;1893056-4
Draken Kebab Nygatan;Nygatan 1;22100;Mariehamn;Maarianhamina;30.10.2019;Määräaikainen anniskelu 4.7%;1893056-4
Dramascusito Contti Summer Bar;Sompasaari eteläkärki;540;Helsinki;Helsinki;01.08.2020;Määräaikainen A, kaikki alkoholijuomat;3144186-1
Dream 10 Club;Kymenlaaksonkatu 10;48100;Kotka;Kotka;05.09.2019;Anniskelu A, kaikki alkoholijuomat;2997987-3
Drink Bar Bulmer;Kirkkokatu 15;18100;Heinola;Heinola;20.06.2007;Anniskelu A, kaikki alkoholijuomat;2120510-1
Drive-in Grillikioski;Vihiluodontie 1 A;90460;Oulunsalo;Oulu;31.05.2001;Vähittäismyyntilupa/max. 5.5 %;1633907-6
Dusk Till Dawn;Keskuskatu 5;42100;Jämsä;Jämsä;15.12.2019;Anniskelu A, kaikki alkoholijuomat;3094481-1
Dylan & Friends;Keilaniementie 1;2150;Espoo;Espoo;15.12.2019;Anniskelu A, kaikki alkoholijuomat;2112598-8
Dylan Böle;Pasilankatu 10;240;Helsinki;Helsinki;23.04.2018;Anniskelu A, kaikki alkoholijuomat;2112598-8
Dylan Caruzello;Tivolikuja 1;510;Helsinki;Helsinki;27.01.2012;Anniskelu A, kaikki alkoholijuomat;2112598-8
Dylan Corner;Kuortaneenkatu 2;510;Helsinki;Helsinki;01.02.2020;Anniskelu A, kaikki alkoholijuomat;2112598-8
Dylan Kottby;Mäkitorpantie 3;620;Helsinki;Helsinki;08.05.2013;Anniskelu A, kaikki alkoholijuomat;2112598-8
Dylan Lepuski;Linnoitustie 6;2600;Espoo;Espoo;15.04.2017;Anniskelu A, kaikki alkoholijuomat;2112598-8
Dylan Milk;Porkkalankatu 5;180;Helsinki;Helsinki;15.11.2012;Anniskelu A, kaikki alkoholijuomat;2112598-8
Dylan Tiksi;Väritehtaankatu 8;1300;Vantaa;Vantaa;16.04.2018;Anniskelu A, kaikki alkoholijuomat;2112598-8
Dynamo;Linnankatu 7;20100;Turku;Turku;01.11.1997;Anniskelu A, kaikki alkoholijuomat;1078609-4
Dynasty-Kiinalainen Ravintola;Kitkantie 1;93600;Kuusamo;Kuusamo;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Döner Harju City;Kaivokatu 8;100;Helsinki;Helsinki;30.11.2018;Ann.lupa sis. vähittäismyynnin;2923308-6
Döner Harju Flemari;Fleminginkatu 23;500;Helsinki;Helsinki;01.11.2018;Ann.lupa sis. vähittäismyynnin;2923308-6
E 93 Lounge & Nightclub;Visbynkuja 2;930;Helsinki;Helsinki;15.09.2017;Anniskelu A, kaikki alkoholijuomat;2698543-4
E. Kotilainen Oy;Haikolantie 14;85410;Sievi;Sievi;08.02.2019;Luovutuspaikka;1505551-4
E.T. Charlie;Ukkohauentie 11-13 LH 11;2170;Espoo;Espoo;01.11.2018;Anniskelu A, kaikki alkoholijuomat;N/A
ECC Café och Grill;Masansgatan 30;22270;Eckerö;Eckerö;06.05.2020;Anniskelu B, miedot alkoholijuomat/max 22%;3086012-4
EK11;Pohjoinen Rautatiekatu 21;100;Helsinki;Helsinki;01.05.2020;Määräaikainen A, kaikki alkoholijuomat;2572368-6
EKE Golf;Lustigkullavägen 19;10600;Tammisaari;Raasepori;28.03.2019;Ann.lupa sis. vähittäismyynnin;2097015-1
EKTA museum;Kustaa Vaasan katu 8;10600;Tammisaari;Raasepori;30.01.2019;Anniskelu A, kaikki alkoholijuomat;0131297-0
ET-PO:N TUPA;Ainiovaara;95600;Ylitornio;Ylitornio;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1003239-9
ETKO Brewingin panimo;Sahaajankatu 20-22;880;Helsinki;Helsinki;19.06.2019;Käsityöläisoluen vähittäismyynti/max 12.0%;2784227-5
Eagles Nest;Niisiuksenkatu 2;20400;Turku;Turku;18.12.2018;Anniskelu A, kaikki alkoholijuomat;2800454-8
East Asia Restaurant;Abraham Wetterin tie 6;810;Helsinki;Helsinki;06.11.2015;Anniskelu A, kaikki alkoholijuomat;2461760-3
East Market;Firdonkatu 2 B (3062);520;Helsinki;Helsinki;01.10.2019;Anniskelu A, kaikki alkoholijuomat;2465770-1
East-West Pub;Opastinsilta 6;520;Helsinki;Helsinki;16.02.2016;Anniskelu A, kaikki alkoholijuomat;1011806-1
Easton Wasabi Sushi;Gotlanninkatu 11-13;930;Helsinki;Helsinki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2520810-7
Eat Poke HKI;Mikonkatu 8, 2. krs;100;Helsinki;Helsinki;20.09.2018;Anniskelu A, kaikki alkoholijuomat;2834823-6
Eat Poke Kallio;Hämeentie 7 B;530;Helsinki;Helsinki;27.09.2019;Anniskelu A, kaikki alkoholijuomat;2895343-6
Eckerö Camping & Stugor;Skaguddsvägen 24;22270;Eckerö;Eckerö;30.04.2018;Anniskelu B, miedot alkoholijuomat/max 22%;2245910-3
Eckerö Hotell & Restaurang;Käringsundsvägen 53;22270;Eckerö;Eckerö;01.06.1978;Anniskelu A, kaikki alkoholijuomat;0816103-6
Eckerögolf;Kyrkoby;22270;Eckerö;Eckerö;04.04.2016;Anniskelu/max. 4.7%;2630222-6
Edenrock;Ålandsvägen 40;22100;Mariehamn;Maarianhamina;04.04.2016;Anniskelu A, kaikki alkoholijuomat;2751396-5
Edin Bar & Grill;Jaakonkatu 6;98100;Kemijärvi;Kemijärvi;12.11.2019;Määräaikainen A, kaikki alkoholijuomat;3007153-9
Eduskunta, lisärakennus;Arkadiankatu 3;102;Eduskunta;Helsinki;18.03.2005;Anniskelu A, kaikki alkoholijuomat;0873697-9
Eduskuntaravintola (kp 3014);Mannerheimintie 30;102;Eduskunta;Helsinki;04.09.2017;Anniskelu A, kaikki alkoholijuomat;0873697-9
Eekoo Kasinoterassi;Rantapuisto;53100;Lappeenranta;Lappeenranta;01.08.2008;Anniskelu A, kaikki alkoholijuomat;0162170-6
Eelin Kauppa;Tirroniementie 1;95980;Ylläsjärvi;Kolari;01.05.2001;Vähittäismyyntilupa/max. 5.5 %;1670076-5
Eerikin Pippuri;Eerikinkatu 15 - 17;100;Helsinki;Helsinki;01.07.2020;Anniskelu A, kaikki alkoholijuomat;2999363-2
Eerikin Pippuri;Mannerheimintie 14;100;Helsinki;Helsinki;01.07.2020;Anniskelu A, kaikki alkoholijuomat;2999363-2
Eerikkala Golf & Kievari;Eerikkalantie 19;72210;Tervo;Tervo;05.05.2020;Ann.lupa sis. vähittäismyynnin;1906688-6
Eerikkilän Urheiluopisto;Urheiluopistontie 138;31370;Eerikkilän Urheiluopisto;Tammela;19.11.2015;Anniskelu A, kaikki alkoholijuomat;2710717-4
Eerola;Röyhdänsaarentie 317;35420;Talviainen;Orivesi;02.03.1999;Anniskelu A, kaikki alkoholijuomat;N/A
Eestin Elintarvikkeet;Vesijärvenkatu 4;15100;Lahti;Lahti;20.12.2018;Vähittäismyyntilupa/max. 5.5 %;2845075-9
Eetun Tupa;Perunkajärvi itäpuolentie 1192;96900;Saarenkylä;Rovaniemi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1235607-1
Ege Kebab Pizzeria;Marttilankatu 8;38200;Sastamala;Sastamala;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2402808-3
Egyptiläinen Ravintola El Karim;Koskelantie 52;610;Helsinki;Helsinki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Ehtookodon Ravintola;Katepalintie 9;37500;Lempäälä;Lempäälä;29.10.2010;Anniskelu A, kaikki alkoholijuomat;N/A
Ei toimipaikka;Porthaninkatu 6 C 65;530;Helsinki;Helsinki;29.05.2020;Anniskelulupa ilman toimipaikkaa;N/A
Ei toimipaikkaa;Kavallinmäki 15 A;2710;Espoo;Espoo;04.02.2019;Anniskelulupa ilman toimipaikkaa;1526323-3
Ei toimipaikkaa;Uudenmaankatu 28 A 16;120;Helsinki;Helsinki;06.09.2018;Anniskelulupa ilman toimipaikkaa;2525996-7
Ei toimipaikkaa;Bremerintie 2;3600;Karkkila;Karkkila;01.03.2019;Anniskelulupa ilman toimipaikkaa;2957954-6
Ei toimipaikkaa;Pohjoisranta 8 A;170;Helsinki;Helsinki;27.05.2020;Anniskelulupa ilman toimipaikkaa;0586946-9
Ei toimipaikkaa;Kulssinmäentie 41;48750;Kotka;Kotka;14.04.2020;Anniskelulupa ilman toimipaikkaa;2114514-5
Ei toimipaikkaa;Solnantie 30 A 19;330;Helsinki;Helsinki;03.12.2019;Anniskelulupa ilman toimipaikkaa;2423601-8
Ei toimipaikkaa;Teuvo Pakkalan katu 11;90100;Oulu;Oulu;07.08.2018;Anniskelulupa ilman toimipaikkaa;2860164-1
Ei toimipaikkaa;Luvalahdentie 1;27500;Kauttua;Eura;30.11.2018;Anniskelulupa ilman toimipaikkaa;2236084-0
Ei toimipaikkaa;Vesijaonraitti 344;17630;Vesijako;Padasjoki;14.06.2019;Anniskelulupa ilman toimipaikkaa;1035352-0
Ei toimipaikkaa;Karjalankatu 2 A 3. krs;520;Helsinki;Helsinki;03.10.2018;Anniskelulupa ilman toimipaikkaa;2262555-4
Ei toimipaikkaa;Aleksis kiven katu 19 b LT 2;510;Helsinki;Helsinki;22.07.2019;Anniskelulupa ilman toimipaikkaa;1071246-6
Ei toimipaikkaa;Lotankatu 3 C 23;2680;Espoo;Espoo;01.12.2019;Anniskelulupa ilman toimipaikkaa;3096424-9
Ei toimipaikkaa;Kustaa iii:n katu 8;13100;Hämeenlinna;Hämeenlinna;07.06.2019;Anniskelulupa ilman toimipaikkaa;2805054-4
Ei toimipaikkaa;Valtakatu 1;11100;Riihimäki;Riihimäki;03.06.2020;Anniskelulupa ilman toimipaikkaa;0639163-9
Ei toimipaikkaa;Töyrymäki 42;2760;Espoo;Espoo;01.04.2020;Anniskelulupa ilman toimipaikkaa;N/A
Ei toimipaikkaa;Länsi-Himoksentie 4;42100;Jämsä;Jämsä;30.05.2018;Anniskelulupa ilman toimipaikkaa;2895230-2
Ei toimipaikkaa;Automaatiotie 1;90460;Oulunsalo;Oulu;13.06.2018;Anniskelulupa ilman toimipaikkaa;1048342-1
Ei toimipaikkaa;Tuorakankuja 50;16510;Luhtikylä;Orimattila;15.09.2018;Anniskelulupa ilman toimipaikkaa;0194323-8
Ei toimipaikkaa;Kansankatu 53;90100;Oulu;Oulu;27.07.2018;Anniskelulupa ilman toimipaikkaa;2811591-8
Ei toimipaikkaa;Rimmiläntie 739;14450;Rimmilä;Hattula;09.04.2018;Anniskelulupa ilman toimipaikkaa;1113189-0
Ei toimipaikkaa;Hämeen Härkätie 742;13500;Hämeenlinna;Hämeenlinna;30.04.2018;Anniskelulupa ilman toimipaikkaa;2516722-9
Ei toimipaikkaa;Nuijamiestenkatu 1;50100;Mikkeli;Mikkeli;22.05.2018;Anniskelulupa ilman toimipaikkaa;0218738-2
Ei toimipaikkaa;Ratapihantie 13;520;Helsinki;Helsinki;01.04.2019;Anniskelulupa ilman toimipaikkaa;2029188-8
Ei toimipaikkaa;Kalevankatu 38 A 12;180;Helsinki;Helsinki;01.04.2019;Anniskelulupa ilman toimipaikkaa;2852078-8
Ei toimipaikkaa;PL 50;30101;Forssa;Forssa;10.09.2018;Anniskelulupa ilman toimipaikkaa;2914975-7
Eikan Pankki;Sibeliuksenkatu 16;4400;Järvenpää;Järvenpää;01.06.2019;Anniskelu A, kaikki alkoholijuomat;2479341-2
Eikan Uusi olutpub;Mannilantie 42a;4400;Järvenpää;Järvenpää;04.04.2020;Ann.lupa sis. vähittäismyynnin;2479341-2
Einar Holmberg Ab;Torsholma;22910;Torsholma;Brändö;07.01.1969;Vähittäismyyntilupa/max. 5.5 %;0521613-4
Ekenäs fotbollsplan;Bryggerigatan 8;10600;Tammisaari;Raasepori;02.07.2020;Määräaikainen A, kaikki alkoholijuomat;2657035-1
Ekmanin Krouvi;Ekmaninkatu 4;20320;Turku;Turku;16.07.1997;Anniskelu A, kaikki alkoholijuomat;0976963-3
Ekta Bryggeri Ab;Bryggerigatan 13;10600;Tammisaari;Raasepori;19.04.2018;Vähittäismyyntilupa/max. 5.5 %;2748104-3
El Fant;Katariinankatu 3;170;Helsinki;Helsinki;01.08.2018;Anniskelu A, kaikki alkoholijuomat;2674327-5
El Mercado Espanjalainen kauppa;Eteläranta 1,Vanha Kauppahalli;130;Helsinki;Helsinki;15.12.2018;Ann.lupa sis. vähittäismyynnin;2638941-3
El Monte - Ruokaravintola;Tähtitie 1;73310;Tahkovuori;Kuopio;01.02.2007;Anniskelu A, kaikki alkoholijuomat;2074890-5
El Nam;Yliopistonkatu 18;20100;Turku;Turku;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2630813-4
El Patio;Kirkkokatu 4;6100;Porvoo;Porvoo;16.09.2015;Anniskelu A, kaikki alkoholijuomat;2700155-6
El Patron Club & Lounge;Simonkatu 6;100;Helsinki;Helsinki;01.03.2020;Anniskelu A, kaikki alkoholijuomat;2884981-5
El Torito Ravintola & Bar;Tammiontie 1;630;Helsinki;Helsinki;04.10.2018;Anniskelu A, kaikki alkoholijuomat;2542902-2
El Toro;Mariankatu 8;15110;Lahti;Lahti;01.01.1960;Anniskelu A, kaikki alkoholijuomat;0910257-2
Ela Ravintola;Pohjoiskaari 9 A;200;Helsinki;Helsinki;27.02.2020;Anniskelu A, kaikki alkoholijuomat;3103189-7
Elenia Areena;Härkätie 17;13130;Hämeenlinna;Hämeenlinna;12.03.2018;Anniskelu A, kaikki alkoholijuomat;2516652-5
Elintarvike Kuksa;Ervastintie 272;93270;Sotkajärvi;Pudasjärvi;14.02.2006;Vähittäismyyntilupa/max. 5.5 %;1450928-9
Elintarvike Penkkimäki;Kiikoinen;38370;Tervahauta;Sastamala;01.01.1969;Vähittäismyyntilupa/max. 5.5 %;0599376-9
Elintarvikekioski Hermeli;Riekonmarjantie 12;90800;Oulu;Oulu;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;N/A
Elintarvikekioski Keidas;Tuulitaival 1;50500;Mikkeli;Mikkeli;06.04.1998;Vähittäismyyntilupa/max. 5.5 %;1052815-9
Elintarvikekioski Kipsakka Ky;Paulaharjuntie 3;61300;Kurikka;Kurikka;19.06.1996;Vähittäismyyntilupa/max. 5.5 %;0459680-9
Elintarvikekioski Loutin Kulma;Mannilantie 63;4400;Järvenpää;Järvenpää;01.11.2004;Vähittäismyyntilupa/max. 5.5 %;1360244-9
Elintarvikekioski Långvik;Medvastintie 5;2420;Jorvas;Kirkkonummi;02.06.1995;Vähittäismyyntilupa/max. 5.5 %;1007048-3
Elintarvikekioski Noukiska;Noukanniementie 99;40820;Haapaniemi;Jyväskylä;13.04.1995;Vähittäismyyntilupa/max. 5.5 %;0520847-6
Elintarvikekioski Ruununhelmi;Ruununtörmäntie 1;91760;Vaala;Vaala;01.06.2014;Vähittäismyyntilupa/max. 5.5 %;2082048-7
Elintarvikekioski Tikkatupa;Kirkkokatu 1;41160;Tikkakoski;Jyväskylä;01.06.2015;Vähittäismyyntilupa/max. 5.5 %;N/A
Elisa Stadion;Rantamaantie 6;65100;Vaasa;Vaasa;31.05.2018;Ann.lupa sis. vähittäismyynnin;1833603-9
Elisaari;Elisaari;10270;Barösund;Inkoo;03.06.2013;Anniskelu A, kaikki alkoholijuomat;2077315-8
Elite;Eteläinen Hesperiankatu 22;100;Helsinki;Helsinki;02.01.2003;Anniskelu A, kaikki alkoholijuomat;0750509-5
Ellan Kauppa Jorma Rintala Ky;Saunassaarentie 2;62295;Kauhajärvi;Lapua;18.12.1991;Vähittäismyyntilupa/max. 5.5 %;0180526-5
Ellilän Kievari;Tyriseväntie 20;37800;Akaa;Akaa;01.02.1990;Anniskelu A, kaikki alkoholijuomat;0751832-0
Ellivuori SkiCenter SKI Cafe;Karkunkyläntie 600;38130;Sastamala;Sastamala;01.12.2016;Anniskelu A, kaikki alkoholijuomat;2663412-4
Ellun Pata;Saksantie 68;39195;Kaipio;Hämeenkyrö;26.04.2019;Anniskelu A, kaikki alkoholijuomat;N/A
Ellun pizza;Schaumanin puistotie 10;40100;Jyväskylä;Jyväskylä;06.02.2020;Määräaikainen A, kaikki alkoholijuomat;3106758-2
Elmo Sports bistro;Töölönlahdenkatu 2, Sanomatalo;100;Helsinki;Helsinki;30.10.2001;Anniskelu A, kaikki alkoholijuomat;1656765-0
Elokuvateatteri Lapinsuu;Jäämerentie 17;99600;Sodankylä;Sodankylä;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0193043-7
Elokuvateatteri Star;Kalliotie 6;90500;Oulu;Oulu;01.09.2019;Anniskelu A, kaikki alkoholijuomat;0511246-6
Elokuvateatteri Studio 123;Helsingintie 12;4400;Järvenpää;Järvenpää;01.09.2020;Anniskelu A, kaikki alkoholijuomat;0648087-7
Elsas Kök;Vöråvägen 305;66600;Vöyri;Vöyri;16.01.2020;Anniskelu A, kaikki alkoholijuomat;2334857-9
Elvan Fun Dining;Bulevardi 11;10900;Hanko;Hanko;01.04.2020;Anniskelu A, kaikki alkoholijuomat;3110381-1
Elämyssaari;Porosalmentie 313;58900;Rantasalmi;Rantasalmi;01.07.2016;Anniskelu A, kaikki alkoholijuomat;2507488-2
Elämystehdas Lappari;Vesaisenkatu1/Panimonranta 3;95400;Tornio;Tornio;23.01.2018;Käsityöläisoluen vähittäismyynti/max 12.0%;0969953-2
Emma teatteri;Kailon alue;21100;Naantali;Naantali;01.06.2005;Anniskelu A, kaikki alkoholijuomat;0925595-8
Emo;Kluuvikatu 2;100;Helsinki;Helsinki;14.08.2017;Anniskelu A, kaikki alkoholijuomat;2544403-8
Emolahti Camping;Pellikantie 430;86800;Pyhäsalmi;Pyhäjärvi;07.11.2016;Vähittäismyyntilupa/max. 5.5 %;2767439-8
Empanada Tropical;Simonkyläntie 11, L1;1390;Vantaa;Vantaa;10.03.2014;Anniskelu A, kaikki alkoholijuomat;2581103-7
Emsalö Byaboden;Emsalövägen 715;6950;Emäsalo;Porvoo;14.01.2016;Vähittäismyyntilupa/max. 5.5 %;N/A
Emäsalon meriasema;Lossipaikka 4 E;6950;Emäsalo;Porvoo;01.05.2013;Vähittäismyyntilupa/max. 5.5 %;2116517-0
Emäsalon meriasema;Lossipaikka 4 E;6950;Emäsalo;Porvoo;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2116517-0
Energia Areena;Rajatorpantie 23;1600;Vantaa;Vantaa;01.01.2013;Anniskelu A, kaikki alkoholijuomat;0892790-0
Energia Halli Kahvila;Ilmarisentie 3 A;15200;Lahti;Lahti;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0869700-9
EnkelinSävel, konserttisalin kahvio;Aninkaistenkatu 9;20110;Turku;Turku;01.01.2014;Anniskelu A, kaikki alkoholijuomat;2503382-9
Enklinge Butiken;Kumlinge;22830;Enklinge;Kumlinge;02.05.2000;Vähittäismyyntilupa/max. 5.5 %;1593711-1
Ephesus;Väinönkatu 28;40100;Jyväskylä;Jyväskylä;10.06.2018;Anniskelu A, kaikki alkoholijuomat;2533218-3
Erkan Bistro;Keskuskatu 35;48100;Kotka;Kotka;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1571248-1
Erkan Kebab pizzeria;Siltapuistonkatu 19;28100;Pori;Pori;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Erkas Gården;Jumontie 38;23390;Iniö;PARAINEN;26.06.2019;Ann.lupa sis. vähittäismyynnin;2861468-8
Ervastin Lomat;Kylmäläntie 18;93800;Kuusamo;Kuusamo;11.06.2018;Anniskelu A, kaikki alkoholijuomat;1267544-3
Erä-Susi Café;Rukajärventie 30;93830;Rukatunturi;Kuusamo;01.07.2018;Anniskelu A, kaikki alkoholijuomat;2848185-4
Erä-Valakia Savotta;Vähä Kuivanuorontie 29;94300;Kemi;Kemi;26.05.2017;Anniskelu A, kaikki alkoholijuomat;N/A
Erähotelli Nellim;Nellimi;99860;Nellim;Inari;12.12.2018;Ann.lupa sis. vähittäismyynnin;1873718-2
Eräjärven Eerola;Eerolanmutka 12;35220;Eräjärvi;Orivesi;20.07.2001;Anniskelu A, kaikki alkoholijuomat;N/A
Eräkeskus Metsäkouluntie;Metsäkouluntie 60;31350;Liesjärvi;Tammela;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Eräkeskus Metsäkouluntie;Metsäkouluntie 60;31350;Liesjärvi;Tammela;01.04.2016;Vähittäismyyntilupa/max. 5.5 %;N/A
Erämaakota;Enontekiö;99400;Enontekiö;Enontekiö;23.07.1996;Vähittäismyyntilupa/max. 5.5 %;1029577-0
Erämaan Elämyskeskus Oy;Koskitie 11;63800;Soini;Soini;03.12.2019;Määräaikainen A, kaikki alkoholijuomat;3011304-9
Erämaan Kutsu;Sysmän Suopelto, Ilolantie 45;19700;Sysmä;Sysmä;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Erämatkailukeskus Käenkoski;Naarvantie 194 B;81460;Käenkoski;Ilomantsi;03.09.2003;Anniskelu A, kaikki alkoholijuomat;1718838-8
EräsRavintola;Pielisentie 17;81700;Lieksa;Lieksa;01.06.2020;Anniskelu A, kaikki alkoholijuomat;2928407-8
Esbecon arena;Kuoppanummentie 22;3100;Nummela;Vihti;01.12.2018;Anniskelu A, kaikki alkoholijuomat;2900415-2
Escape;Kauppakatu 32;40100;Jyväskylä;Jyväskylä;16.12.2015;Anniskelu A, kaikki alkoholijuomat;1952494-7
Espa;Pohjoisesplanadi 17;170;Helsinki;Helsinki;01.10.2019;Anniskelu A, kaikki alkoholijuomat;2997287-4
Espa Market;Kauppakatu 61 A 7 C;53100;Lappeenranta;Lappeenranta;21.06.2016;Vähittäismyyntilupa/max. 5.5 %;2450862-6
Espanjan Herkut Tapas & Gourmet;Kauppakatu 45;70110;Kuopio;Kuopio;17.06.2019;Ann.lupa sis. vähittäismyynnin;2992740-8
Espoon  Kaupunginteatteri;Revontulentie 8 A;2100;Espoo;Espoo;30.07.2020;Anniskelu A, kaikki alkoholijuomat;0712494-6
Espoon Camping Oittaa, kahvila;Kunnarlantie 31;2740;Espoo;Espoo;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0844082-8
Espoon Kulttuurikeskus/ ravintola;Kulttuuriaukio 2;2100;Espoo;Espoo;01.01.2019;Anniskelu A, kaikki alkoholijuomat;0986855-1
Espoon Oma Panimo;Tillinmäentie 3 B 111;2330;Espoo;Espoo;06.02.2018;Käsityöläisoluen vähittäismyynti/max 12.0%;2778535-4
Espoonlahden tekonurmi;Espoonlahdentie 4;2320;Espoo;Espoo;17.06.2020;Määräaikainen A, kaikki alkoholijuomat;2778535-4
Esport Arena;Koivumankkaantie 3;2200;Espoo;Espoo;17.11.2005;Anniskelu A, kaikki alkoholijuomat;1859371-3
Espresso Edge;Liisankatu 29;170;Helsinki;Helsinki;25.03.2004;Anniskelu A, kaikki alkoholijuomat;N/A
Espresso House 1239 Zsar;Rouvanmäentie 3;49930;Vaalimaa;Virolahti;18.09.2019;Anniskelu A, kaikki alkoholijuomat;2663296-2
Espresso House 1256 Rotuaari;Kirkkokatu 8;90100;Oulu;Oulu;25.06.2020;Anniskelu A, kaikki alkoholijuomat;2663296-2
Espresso House Lahti 1230;Aleksanterinkatu 10;15110;Lahti;Lahti;30.06.2020;Määräaikainen A, kaikki alkoholijuomat;2663296-2
Espresso House Porvoo 1254;Lundinkatu 12;6100;Porvoo;Porvoo;03.07.2020;Määräaikainen A, kaikki alkoholijuomat;2663296-2
Espresso House Stockmann;Keskuskatu 2;100;Helsinki;Helsinki;01.04.2016;Anniskelu A, kaikki alkoholijuomat;2663296-2
